participant_id,choice_type,choice_id,third_alternative,Ax,Ay,Bx,By,Tx,Ty,choice
172,pairwise,025,,1309.0,-1.35,1923.0,-2.5,,,A
172,compromise,016,Ca,26.0,9.0,33.0,5.0,20.0,12.0,B
172,attraction,015,Da,-9.49,356.0,-6.49,259.0,-10.24,332.0,A
172,similarity,026,Sa,-64.7,325.0,-39.3,203.0,-39.8,205.0,T
172,pairwise,021,,-19.93,14.55,-13.49,9.25,,,A
172,pairwise,018,,3.04,-4.97,5.62,-7.83,,,B
190,pairwise,036,,407.0,-2.58,452.0,-2.85,,,A
190,pairwise,011,,4.5,77.0,7.2,56.0,,,A
190,similarity,018,Sb,3.04,-4.97,5.62,-7.83,3.09,-5.03,B
190,attraction,021,Da,-19.93,14.55,-13.49,9.25,-21.54,13.22,T
190,pairwise,026,,-64.7,325.0,-39.3,203.0,,,B
190,compromise,025,Ca,1309.0,-1.35,1923.0,-2.5,696.0,-0.21,T
164,pairwise,018,,3.04,-4.97,5.62,-7.83,,,B
164,similarity,016,Sb,26.0,9.0,33.0,5.0,27.0,8.0,T
164,compromise,026,Ca,-64.7,325.0,-39.3,203.0,-90.0,446.0,T
164,attraction,021,Db,-19.93,14.55,-13.49,9.25,-15.1,7.92,B
164,pairwise,025,,1309.0,-1.35,1923.0,-2.5,,,B
164,pairwise,015,,-9.49,356.0,-6.49,259.0,,,B
107,attraction,015,Da,-9.49,356.0,-6.49,259.0,-10.24,332.0,A
107,pairwise,018,,3.04,-4.97,5.62,-7.83,,,B
107,pairwise,011,,4.5,77.0,7.2,56.0,,,A
107,pairwise,025,,1309.0,-1.35,1923.0,-2.5,,,B
107,similarity,036,Sa,407.0,-2.58,452.0,-2.85,451.0,-2.84,B
107,compromise,021,Ca,-19.93,14.55,-13.49,9.25,-26.36,19.84,A
244,compromise,016,Ca,26.0,9.0,33.0,5.0,20.0,12.0,A
244,pairwise,036,,407.0,-2.58,452.0,-2.85,,,A
244,similarity,026,Sb,-64.7,325.0,-39.3,203.0,-64.2,323.0,T
244,attraction,011,Db,4.5,77.0,7.2,56.0,6.5,51.0,A
244,pairwise,021,,-19.93,14.55,-13.49,9.25,,,B
244,pairwise,025,,1309.0,-1.35,1923.0,-2.5,,,B
123,pairwise,025,,1309.0,-1.35,1923.0,-2.5,,,A
123,similarity,021,Sa,-19.93,14.55,-13.49,9.25,-13.62,9.36,B
123,pairwise,018,,3.04,-4.97,5.62,-7.83,,,A
123,compromise,015,Ca,-9.49,356.0,-6.49,259.0,-12.48,452.0,B
123,pairwise,016,,26.0,9.0,33.0,5.0,,,B
123,attraction,026,Da,-64.7,325.0,-39.3,203.0,-71.1,294.0,A
161,pairwise,015,,-9.49,356.0,-6.49,259.0,,,B
161,pairwise,016,,26.0,9.0,33.0,5.0,,,B
161,compromise,025,Cb,1309.0,-1.35,1923.0,-2.5,2537.0,-3.65,T
161,attraction,011,Db,4.5,77.0,7.2,56.0,6.5,51.0,A
161,pairwise,021,,-19.93,14.55,-13.49,9.25,,,A
161,similarity,036,Sb,407.0,-2.58,452.0,-2.85,408.0,-2.59,A
241,compromise,016,Cb,26.0,9.0,33.0,5.0,40.0,1.0,B
241,similarity,011,Sb,4.5,77.0,7.2,56.0,4.6,76.0,A
241,pairwise,025,,1309.0,-1.35,1923.0,-2.5,,,B
241,pairwise,018,,3.04,-4.97,5.62,-7.83,,,A
241,pairwise,026,,-64.7,325.0,-39.3,203.0,,,B
241,attraction,015,Da,-9.49,356.0,-6.49,259.0,-10.24,332.0,A
126,pairwise,021,,-19.93,14.55,-13.49,9.25,,,A
126,pairwise,018,,3.04,-4.97,5.62,-7.83,,,A
126,pairwise,015,,-9.49,356.0,-6.49,259.0,,,A
126,attraction,036,Db,407.0,-2.58,452.0,-2.85,441.0,-2.92,B
126,similarity,025,Sa,1309.0,-1.35,1923.0,-2.5,1911.0,-2.48,B
126,compromise,016,Cb,26.0,9.0,33.0,5.0,40.0,1.0,B
13,pairwise,026,,-64.7,325.0,-39.3,203.0,,,A
13,pairwise,015,,-9.49,356.0,-6.49,259.0,,,B
13,similarity,025,Sb,1309.0,-1.35,1923.0,-2.5,1321.0,-1.37,T
13,compromise,016,Ca,26.0,9.0,33.0,5.0,20.0,12.0,A
13,attraction,018,Db,3.04,-4.97,5.62,-7.83,4.98,-8.55,A
13,pairwise,036,,407.0,-2.58,452.0,-2.85,,,A
216,pairwise,025,,1309.0,-1.35,1923.0,-2.5,,,B
216,compromise,016,Ca,26.0,9.0,33.0,5.0,20.0,12.0,B
216,pairwise,011,,4.5,77.0,7.2,56.0,,,A
216,pairwise,021,,-19.93,14.55,-13.49,9.25,,,A
216,attraction,018,Da,3.04,-4.97,5.62,-7.83,2.39,-5.69,A
216,similarity,015,Sb,-9.49,356.0,-6.49,259.0,-9.43,354.0,T
55,similarity,021,Sb,-19.93,14.55,-13.49,9.25,-19.8,14.44,A
55,pairwise,025,,1309.0,-1.35,1923.0,-2.5,,,A
55,compromise,026,Ca,-64.7,325.0,-39.3,203.0,-90.0,446.0,B
55,attraction,016,Db,26.0,9.0,33.0,5.0,31.0,4.0,B
55,pairwise,036,,407.0,-2.58,452.0,-2.85,,,B
55,pairwise,011,,4.5,77.0,7.2,56.0,,,A
167,pairwise,036,,407.0,-2.58,452.0,-2.85,,,A
167,similarity,016,Sa,26.0,9.0,33.0,5.0,32.0,6.0,T
167,pairwise,018,,3.04,-4.97,5.62,-7.83,,,B
167,pairwise,025,,1309.0,-1.35,1923.0,-2.5,,,B
167,compromise,015,Ca,-9.49,356.0,-6.49,259.0,-12.48,452.0,T
167,attraction,011,Db,4.5,77.0,7.2,56.0,6.5,51.0,A
286,pairwise,015,,-9.49,356.0,-6.49,259.0,,,A
286,similarity,036,Sa,407.0,-2.58,452.0,-2.85,451.0,-2.84,A
286,compromise,021,Cb,-19.93,14.55,-13.49,9.25,-7.05,3.95,A
286,pairwise,016,,26.0,9.0,33.0,5.0,,,A
286,pairwise,011,,4.5,77.0,7.2,56.0,,,A
